data,produto,produto_id,classificacao,unidade,menor,comum,maior
"2026-05-13","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-05-13","TAMBAQUI","tambaqui","-","KG",12.96,13.24,13.73
"2026-05-13","TILÁPIA","tilapia","-","KG",12.72,12.82,12.92
"2026-05-13","TRUTA","truta","-","KG",39.71,40.21,40.70
"2026-05-15","FILE DE TILAPIA","file-de-tilapia","-","KG",42.20,43.05,43.90
"2026-05-15","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-05-15","PINTADO","pintado","-","KG",25.62,26.51,27.42
"2026-05-15","TAMBAQUI","tambaqui","-","KG",13.79,14.17,14.55
"2026-05-15","TILÁPIA","tilapia","-","KG",12.82,12.98,13.19
"2026-05-15","TRUTA","truta","-","KG",39.60,40.40,41.20
"2026-05-18","FILE DE TILAPIA","file-de-tilapia","-","KG",41.94,42.65,43.36
"2026-05-18","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-05-18","PINTADO","pintado","-","KG",24.33,24.98,25.65
"2026-05-18","TAMBAQUI","tambaqui","-","KG",13.03,13.71,14.41
"2026-05-18","TILÁPIA","tilapia","-","KG",12.83,13.01,13.17
"2026-05-18","TRUTA","truta","-","KG",39.67,40.16,40.67
"2026-05-20","FILE DE TILAPIA","file-de-tilapia","-","KG",42.15,42.91,43.72
"2026-05-20","TILÁPIA","tilapia","-","KG",13.08,13.26,13.39
"2026-05-20","TRUTA","truta","-","KG",39.96,40.46,41.16
"2026-05-22","FILE DE TILAPIA","file-de-tilapia","-","KG",42.35,43.13,43.92
"2026-05-22","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-05-22","TILÁPIA","tilapia","-","KG",12.24,12.69,13.12
"2026-05-22","TRUTA","truta","-","KG",40.41,40.91,41.41
"2026-05-25","FILE DE TILAPIA","file-de-tilapia","-","KG",42.03,42.76,43.49
"2026-05-25","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-05-25","TILÁPIA","tilapia","-","KG",12.81,12.98,13.13
"2026-05-25","TRUTA","truta","-","KG",39.76,40.25,40.75
