data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
11/02/2026;PESCADOS;PANGASIUS;-;KG;10,0;10,0;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
11/02/2026;PESCADOS;PINTADO;-;KG;28,0;28,0;28,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
11/02/2026;PESCADOS;TAMBAQUI;-;KG;14,0;14,2;14,4;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
11/02/2026;PESCADOS;TILÁPIA;-;KG;12,13;12,13;12,13;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
11/02/2026;PESCADOS;TRUTA;-;KG;40,86;40,86;40,86;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
13/02/2026;PESCADOS;FILE DE TILAPIA;-;KG;40,43;41,44;41,87;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
13/02/2026;PESCADOS;PINTADO;-;KG;27,0;28,0;28,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
13/02/2026;PESCADOS;TAMBAQUI;-;KG;15,62;16,13;16,63;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
13/02/2026;PESCADOS;TILÁPIA;-;KG;11,32;12,28;12,32;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
13/02/2026;PESCADOS;TRUTA;-;KG;38,0;39,0;40,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
20/02/2026;PESCADOS;FILE DE TILAPIA;-;KG;39,72;40,71;41,45;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
20/02/2026;PESCADOS;PANGASIUS;-;KG;14,77;15,47;15,77;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
20/02/2026;PESCADOS;PINTADO;-;KG;27,0;28,0;28,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
20/02/2026;PESCADOS;TAMBAQUI;-;KG;12,19;13,19;14,2;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
20/02/2026;PESCADOS;TILÁPIA;-;KG;10,0;11,0;12,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
20/02/2026;PESCADOS;TRUTA;-;KG;38,0;39,0;40,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/02/2026;PESCADOS;FILE DE TILAPIA;-;KG;39,7;40,88;42,15;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/02/2026;PESCADOS;PINTADO;-;KG;25,0;26,0;27,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/02/2026;PESCADOS;TAMBAQUI;-;KG;13,24;14,12;15,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/02/2026;PESCADOS;TILÁPIA;-;KG;12,01;12,49;13,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
25/02/2026;PESCADOS;FILE DE TILAPIA;-;KG;39,75;40,75;41,14;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
25/02/2026;PESCADOS;PANGASIUS;-;KG;9,0;9,5;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
25/02/2026;PESCADOS;TILÁPIA;-;KG;11,45;12,46;12,8;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
